close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
35.15,35.3,34.6,34.94,607200.0,2.3433333333,2.3533333333,2.3066666667,2.3293333333,9108000,0.0,1.0
34.4,35.15,34.3,34.97,522400.0,2.2933333333,2.3433333333,2.2866666667,2.3313333333,7836000,0.0,1.0
34.08,34.63,33.15,34.26,1170600.0,2.272,2.3086666667,2.21,2.284,17559000,0.0,1.0
37.4,38.09,35.0414,35.59,3140500.0,2.4933333333,2.5393333333,2.3360933333,2.3726666667,47107500,0.0,1.0
37.94,39.95,37.03,37.16,2539200.0,2.5293333333,2.6633333333,2.4686666667,2.4773333333,38088000,0.0,1.0
37.85,38.44,37.1104,37.78,955000.0,2.5233333333,2.5626666667,2.4740266667,2.5186666667,14325000,0.0,1.0
37.33,38.19,37.03,38.19,796400.0,2.4886666667,2.546,2.4686666667,2.546,11946000,0.0,1.0
37.24,37.94,36.68,37.52,886400.0,2.4826666667,2.5293333333,2.4453333333,2.5013333333,13296000,0.0,1.0
36.58,37.97,36.53,37.33,1028600.0,2.4386666667,2.5313333333,2.4353333333,2.4886666667,15429000,0.0,1.0
38.01,38.4696,36.67,36.7,1098100.0,2.534,2.56464,2.4446666667,2.4466666667,16471500,0.0,1.0
35.0,35.49,34.69,35.27,4481800.0,2.3333333333,2.366,2.3126666667,2.3513333333,67227000,0.0,1.0
34.48,35.44,34.41,35.1,1509400.0,2.2986666667,2.3626666667,2.294,2.34,22641000,0.0,1.0
33.15,34.29,33.1,34.1,1655700.0,2.21,2.286,2.2066666667,2.2733333333,24835500,0.0,1.0
32.46,33.849,32.1,33.15,1847700.0,2.164,2.2566,2.14,2.21,27715500,0.0,1.0
33.09,33.29,32.01,33.24,1105500.0,2.206,2.2193333333,2.134,2.216,16582500,0.0,1.0
33.44,34.48,32.92,33.77,1033900.0,2.2293333333,2.2986666667,2.1946666667,2.2513333333,15508500,0.0,1.0
33.59,34.04,32.85,33.94,649600.0,2.2393333333,2.2693333333,2.19,2.2626666667,9744000,0.0,1.0
32.25,33.7,32.09,33.41,1099600.0,2.15,2.2466666667,2.1393333333,2.2273333333,16494000,0.0,1.0
32.24,33.07,32.04,32.43,1115500.0,2.1493333333,2.2046666667,2.136,2.162,16732500,0.0,1.0
32.66,32.75,31.53,32.09,823100.0,2.1773333333,2.1833333333,2.102,2.1393333333,12346500,0.0,1.0
33.16,33.43,32.5,32.75,774900.0,2.2106666667,2.2286666667,2.1666666667,2.1833333333,11623500,0.0,1.0
33.16,33.7299,32.94,33.14,821800.0,2.2106666667,2.24866,2.196,2.2093333333,12327000,0.0,1.0
31.94,32.97,31.71,32.86,890800.0,2.1293333333,2.198,2.114,2.1906666667,13362000,0.0,1.0
31.82,32.2,31.0,31.82,674500.0,2.1213333333,2.1466666667,2.0666666667,2.1213333333,10117500,0.0,1.0
32.91,32.99,32.07,32.07,712200.0,2.194,2.1993333333,2.138,2.138,10683000,0.0,1.0
33.49,33.52,32.91,32.96,425300.0,2.2326666667,2.2346666667,2.194,2.1973333333,6379500,0.0,1.0
33.34,33.63,32.91,33.6,591000.0,2.2226666667,2.242,2.194,2.24,8865000,0.0,1.0
33.13,33.36,32.58,33.27,413900.0,2.2086666667,2.224,2.172,2.218,6208500,0.0,1.0
33.78,34.21,33.13,33.13,659000.0,2.252,2.2806666667,2.2086666667,2.2086666667,9885000,0.0,1.0
33.94,34.39,33.39,33.5,497300.0,2.2626666667,2.2926666667,2.226,2.2333333333,7459500,0.0,1.0
32.46,34.0,32.13,33.91,841300.0,2.164,2.2666666667,2.142,2.2606666667,12619500,0.0,1.0
31.83,32.46,31.4,32.2,1247500.0,2.122,2.164,2.0933333333,2.1466666667,18712500,0.0,1.0
32.47,32.58,31.61,31.96,1158000.0,2.1646666667,2.172,2.1073333333,2.1306666667,17370000,0.0,1.0
30.19,32.7281,29.37,32.5,3097200.0,2.0126666667,2.1818733333,1.958,2.1666666667,46458000,0.0,1.0
30.06,30.77,29.76,30.3,1947900.0,2.004,2.0513333333,1.984,2.02,29218500,0.0,1.0
32.96,34.68,32.4,32.97,5556300.0,2.1973333333,2.312,2.16,2.198,83344500,0.0,1.0
32.25,33.44,32.16,32.49,1221300.0,2.15,2.2293333333,2.144,2.166,18319500,0.0,1.0
30.06,32.13,30.05,31.92,1380900.0,2.004,2.142,2.0033333333,2.128,20713500,0.0,1.0
29.43,30.96,29.22,30.26,1585700.0,1.962,2.064,1.948,2.0173333333,23785500,0.0,1.0
29.18,30.18,28.88,29.58,1257100.0,1.9453333333,2.012,1.9253333333,1.972,18856500,0.0,1.0
28.57,29.79,28.24,29.3,1149000.0,1.9046666667,1.986,1.8826666667,1.9533333333,17235000,0.0,1.0
27.56,28.46,26.83,28.37,1616500.0,1.8373333333,1.8973333333,1.7886666667,1.8913333333,24247500,0.0,1.0
28.77,29.26,27.12,27.58,1475200.0,1.918,1.9506666667,1.808,1.8386666667,22128000,0.0,1.0
30.79,31.34,30.0,30.1,2366200.0,2.0526666667,2.0893333333,2.0,2.0066666667,35493000,0.0,1.0
31.02,31.05,29.5,30.56,1220400.0,2.068,2.07,1.9666666667,2.0373333333,18306000,0.0,1.0
30.32,31.25,29.69,31.25,1075600.0,2.0213333333,2.0833333333,1.9793333333,2.0833333333,16134000,0.0,1.0
29.81,30.4076,29.2,30.16,757000.0,1.9873333333,2.0271733333,1.9466666667,2.0106666667,11355000,0.0,1.0
31.69,31.93,30.01,30.01,1650000.0,2.1126666667,2.1286666667,2.0006666667,2.0006666667,24750000,0.0,1.0
30.41,31.42,30.24,31.08,1307200.0,2.0273333333,2.0946666667,2.016,2.072,19608000,0.0,1.0
29.5,30.29,28.75,30.07,1118700.0,1.9666666667,2.0193333333,1.9166666667,2.0046666667,16780500,0.0,1.0
28.15,29.16,27.76,28.53,885800.0,1.8766666667,1.944,1.8506666667,1.902,13287000,0.0,1.0
27.88,28.41,27.11,28.03,1030900.0,1.8586666667,1.894,1.8073333333,1.8686666667,15463500,0.0,1.0
27.91,28.39,27.56,27.84,630900.0,1.8606666667,1.8926666667,1.8373333333,1.856,9463500,0.0,1.0
29.22,29.45,28.14,28.2,909900.0,1.948,1.9633333333,1.876,1.88,13648500,0.0,1.0
28.93,29.87,28.85,29.81,492100.0,1.9286666667,1.9913333333,1.9233333333,1.9873333333,7381500,0.0,1.0
30.08,30.19,28.1475,28.86,881100.0,2.0053333333,2.0126666667,1.8765,1.924,13216500,0.0,1.0
29.12,31.0,28.9584,30.31,636000.0,1.9413333333,2.0666666667,1.93056,2.0206666667,9540000,0.0,1.0
29.66,29.84,28.81,29.23,569000.0,1.9773333333,1.9893333333,1.9206666667,1.9486666667,8535000,0.0,1.0
29.77,30.64,29.47,29.55,844100.0,1.9846666667,2.0426666667,1.9646666667,1.97,12661500,0.0,1.0
29.39,30.65,28.62,30.18,872200.0,1.9593333333,2.0433333333,1.908,2.012,13083000,0.0,1.0
29.91,29.95,28.81,29.39,646800.0,1.994,1.9966666667,1.9206666667,1.9593333333,9702000,0.0,1.0
31.84,32.33,29.5,29.94,1256800.0,2.1226666667,2.1553333333,1.9666666667,1.996,18852000,0.0,1.0
32.09,32.6594,31.5,32.02,911100.0,2.1393333333,2.1772933333,2.1,2.1346666667,13666500,0.0,1.0
33.78,34.5,33.21,33.5,3422400.0,2.252,2.3,2.214,2.2333333333,51336000,0.0,1.0
32.19,34.28,31.84,34.26,1891900.0,2.146,2.2853333333,2.1226666667,2.284,28378500,0.0,1.0
33.785,33.98,32.46,32.6,3046600.0,2.2523333333,2.2653333333,2.164,2.1733333333,45699000,0.0,1.0
33.11,34.12,32.75,33.94,1498500.0,2.2073333333,2.2746666667,2.1833333333,2.2626666667,22477500,0.0,1.0
31.61,32.35,31.39,32.05,2613900.0,2.1073333333,2.1566666667,2.0926666667,2.1366666667,39208500,0.0,1.0
31.96,32.445,31.57,31.9,1047200.0,2.1306666667,2.163,2.1046666667,2.1266666667,15708000,0.0,1.0
31.41,32.11,30.62,31.9,914100.0,2.094,2.1406666667,2.0413333333,2.1266666667,13711500,0.0,1.0
31.29,32.8,31.0,32.8,1125800.0,2.086,2.1866666667,2.0666666667,2.1866666667,16887000,0.0,1.0
30.4,31.7995,30.19,31.35,1315600.0,2.0266666667,2.1199666667,2.0126666667,2.09,19734000,0.0,1.0
30.66,31.0,30.4,30.6,947000.0,2.044,2.0666666667,2.0266666667,2.04,14205000,0.0,1.0
31.23,31.67,30.8,30.81,1253800.0,2.082,2.1113333333,2.0533333333,2.054,18807000,0.0,1.0
30.99,31.73,30.8,30.99,784500.0,2.066,2.1153333333,2.0533333333,2.066,11767500,0.0,1.0
31.49,31.83,30.67,30.94,910500.0,2.0993333333,2.122,2.0446666667,2.0626666667,13657500,0.0,1.0
31.27,32.48,30.89,31.54,758400.0,2.0846666667,2.1653333333,2.0593333333,2.1026666667,11376000,0.0,1.0
31.51,31.68,31.01,31.57,638600.0,2.1006666667,2.112,2.0673333333,2.1046666667,9579000,0.0,1.0
32.7,33.01,30.8,31.29,1125700.0,2.18,2.2006666667,2.0533333333,2.086,16885500,0.0,1.0
34.25,34.4,32.83,32.97,1304800.0,2.2833333333,2.2933333333,2.1886666667,2.198,19572000,0.0,1.0
35.96,36.0,33.9,34.32,1744000.0,2.3973333333,2.4,2.26,2.288,26160000,0.0,1.0
33.35,35.21,32.38,35.0,2569300.0,2.2233333333,2.3473333333,2.1586666667,2.3333333333,38539500,0.0,1.0
32.15,33.67,31.06,31.42,2881900.0,2.1433333333,2.2446666667,2.0706666667,2.0946666667,43228500,0.0,1.0
32.27,33.15,32.04,32.72,1435900.0,2.1513333333,2.21,2.136,2.1813333333,21538500,0.0,1.0
31.79,32.25,31.25,32.07,1568500.0,2.1193333333,2.15,2.0833333333,2.138,23527500,0.0,1.0
30.66,31.3,30.62,31.05,1386800.0,2.044,2.0866666667,2.0413333333,2.07,20802000,0.0,1.0
29.84,31.04,29.62,30.66,1500300.0,1.9893333333,2.0693333333,1.9746666667,2.044,22504500,0.0,1.0
28.95,29.98,28.75,29.92,2842200.0,1.93,1.9986666667,1.9166666667,1.9946666667,42633000,0.0,1.0
28.13,30.0,27.64,29.9,2262300.0,1.8753333333,2.0,1.8426666667,1.9933333333,33934500,0.0,1.0
29.51,29.66,28.1,28.71,1673000.0,1.9673333333,1.9773333333,1.8733333333,1.914,25095000,0.0,1.0
27.35,30.248,27.21,29.51,2065200.0,1.8233333333,2.0165333333,1.814,1.9673333333,30978000,0.0,1.0
27.42,27.97,27.35,27.54,1575100.0,1.828,1.8646666667,1.8233333333,1.836,23626500,0.0,1.0
26.25,27.99,26.03,27.99,1592300.0,1.75,1.866,1.7353333333,1.866,23884500,0.0,1.0
26.1,26.85,25.52,26.84,1305100.0,1.74,1.79,1.7013333333,1.7893333333,19576500,0.0,1.0
27.27,27.55,26.74,26.9,1209500.0,1.818,1.8366666667,1.7826666667,1.7933333333,18142500,0.0,1.0
28.27,28.7,27.55,27.55,1528200.0,1.8846666667,1.9133333333,1.8366666667,1.8366666667,22923000,0.0,1.0
30.25,30.9,28.5,28.77,2387200.0,2.0166666667,2.06,1.9,1.918,35808000,0.0,1.0
29.09,30.0,28.59,29.9,1308900.0,1.9393333333,2.0,1.906,1.9933333333,19633500,0.0,1.0
29.41,30.0,29.1301,29.52,672600.0,1.9606666667,2.0,1.9420066667,1.968,10089000,0.0,1.0
29.94,29.94,29.31,29.31,707400.0,1.996,1.996,1.954,1.954,10611000,0.0,1.0
31.17,31.3,29.101,29.69,870100.0,2.078,2.0866666667,1.9400666667,1.9793333333,13051500,0.0,1.0
29.42,31.17,29.26,30.75,793400.0,1.9613333333,2.078,1.9506666667,2.05,11901000,0.0,1.0
29.4,29.7,28.81,29.39,525400.0,1.96,1.98,1.9206666667,1.9593333333,7881000,0.0,1.0
30.3,30.39,29.5,29.53,669000.0,2.02,2.026,1.9666666667,1.9686666667,10035000,0.0,1.0
30.01,30.71,29.98,30.29,508200.0,2.0006666667,2.0473333333,1.9986666667,2.0193333333,7623000,0.0,1.0
29.51,30.39,29.1,30.15,1179100.0,1.9673333333,2.026,1.94,2.01,17686500,0.0,1.0
29.11,30.0,29.0,29.58,761600.0,1.9406666667,2.0,1.9333333333,1.972,11424000,0.0,1.0
29.95,30.04,29.01,29.01,775500.0,1.9966666667,2.0026666667,1.934,1.934,11632500,0.0,1.0
30.73,30.85,29.65,30.0,1471000.0,2.0486666667,2.0566666667,1.9766666667,2.0,22065000,0.0,1.0
29.5,30.24,29.41,30.06,1429400.0,1.9666666667,2.016,1.9606666667,2.004,21441000,0.0,1.0
